Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
6,1977-07-07,225.0,Bordeaux,Limoges,Flat,Jan Raas,NED,359
7a,1977-07-08,140.0,Jaunay-Clan,Angers,Flat,Patrick Sercu,BEL,640
7b,1977-07-08,4.0,Angers,Angers,Time Trial,Fiat France,NA,217
8,1977-07-09,247.0,Angers,Lorient,Flat,Giacinto Santambrogio,ITA,279
9,1977-07-10,187.0,Lorient,Rennes,Mountain,Klaus-Peter Thaler,FRG,468
10,1977-07-11,174.0,Bagnoles-de-l'Orne,Rouen,Flat,Fedor den Hertog,NED,207
11,1977-07-12,242.0,Rouen,Roubaix,Flat,Jean-Pierre Danguillaume,FRA,390
12,1977-07-13,193.0,Roubaix,Charleroi,Mountain,Patrick Sercu,BEL,640
13a,1977-07-14,46.0,Freiburg,Freiburg,Flat,Patrick Sercu,BEL,640
13b,1977-07-14,160.0,Altkirch ,Besançon,Flat,Jean-Pierre Danguillaume,FRA,390
14,1977-07-16,230.0,Besançon,Thonon-les-Bains,Mountain,Bernard Quilfen,FRA,77
15a,1977-07-17,105.0,Thonon-les-Bains,Morzine,Mountain,Paul Wellens,BEL,647
15b,1977-07-17,14.0,Morzine,Avoriaz,Time Trial,Lucien Van Impe,BEL,511
16,1977-07-18,121.0,Morzine,Chamonix,Mountain,Dietrich Thurau,FRG,143
17,1977-07-19,185.0,Chamonix,Alpe d'Huez,Mountain,Hennie Kuiper,NED,324
18,1977-07-20,199.0,Rossignol Voiron,Saint-Étienne,Mountain,no winner,NA,858
19,1977-07-21,172.0,Saint-Trivier-sur-Moignans,Dijon,Flat,Gerrie Knetemann,NED,272
20,1977-07-22,50.0,Dijon,Dijon,Time Trial,Bernard Thévenet,FRA,78
21,1977-07-23,142.0,Montereau-Fault-Yonne,Versailles,Flat,Gerrie Knetemann,NED,272
22a,1977-07-24,6.0,Paris,Paris,Time Trial,Dietrich Thurau,FRG,143
22b,1977-07-24,91.0,Paris,Paris,Flat,Alain Meslet,FRA,14
P,1976-06-24,8.0,Saint-Jean-de-Monts,Saint-Jean-de-Monts,Time Trial,Freddy Maertens,BEL,243
1,1976-06-25,173.0,Saint-Jean-de-Monts,Angers,Flat,Freddy Maertens,BEL,243
2,1976-06-26,237.0,Angers,Caen,Flat,Giovanni Battaglin,ITA,290
3,1976-06-27,37.0,Le Touquet-Paris-Plage,Le Touquet-Paris-Plage,Time Trial,Freddy Maertens,BEL,243
4,1976-06-28,258.0,Le Touquet-Paris-Plage,Bornem,Flat,Hennie Kuiper,NED,324
5a,1976-06-29,4.0,Leuven,Leuven,Time Trial,TI–Raleigh–Campagnolo,NA,797
5b,1976-06-29,144.0,Leuven,Verviers,Other,Miguel-Maria Lasa,ESP,600
6,1976-06-30,209.0,Bastogne,Nancy,Flat,Aldo Parecchini,ITA,20
7,1976-07-01,206.0,Nancy,Mulhouse,Flat,Freddy Maertens,BEL,243
8,1976-07-02,220.0,Valentigney,Divonne-les-Bains,Flat,Jacques Esclassan,FRA,349
9,1976-07-04,258.0,Divonne-les-Bains,Alpe d'Huez,Mountain,Joop Zoetemelk,NED,414
10,1976-07-05,166.0,Le Bourg-d'Oisans,Montgenèvre,Mountain,Joop Zoetemelk,NED,414
11,1976-07-06,224.0,Montgenèvre,Manosque,Mountain,José-Luis Viejo,ESP,436
12,1976-07-08,205.0,Le Barcarès,Pyrénées 2000,Mountain,Raymond Delisle,FRA,691
13,1976-07-09,188.0,Font-Romeu-Odeillo-Via,Saint-Gaudens,Mountain,Willy Teirlinck,BEL,847
14,1976-07-10,139.0,Saint-Gaudens,Saint-Lary-Soulan,Mountain,Lucien Van Impe,BEL,511
15,1976-07-11,195.0,Saint-Lary-Soulan,Pau,Mountain,Wladimiro Panizza,ITA,852
16,1976-07-12,152.0,Pau,Fleurance,Flat,Michel Pollentier,BEL,591
17,1976-07-13,39.0,Fleurance,Auch,Time Trial,Ferdinand Bracke,BEL,210
18a,1976-07-14,86.0,Auch,Langon,Other,Freddy Maertens,BEL,243
18b,1976-07-14,123.0,Langon,Lacanau,Other,Freddy Maertens,BEL,243
18c,1976-07-14,70.0,Lacanau,Bordeaux,Other,Gerben Karstens,NED,270
19,1976-07-15,220.0,Sainte-Foy-la-Grande,Tulle,Flat,Hubert Mathis,FRA,337
20,1976-07-16,220.0,Tulle,Puy de Dôme,Mountain,Joop Zoetemelk,NED,414
21,1976-07-17,145.0,Montargis,Versailles,Flat,Freddy Maertens,BEL,243
22a,1976-07-18,6.0,Paris,Paris,Time Trial,Freddy Maertens,BEL,243
22b,1976-07-18,91.0,Paris,Paris,Other,Gerben Karstens,NED,270
P,1975-06-26,6.0,Charleroi,Charleroi,Time Trial,Francesco Moser,ITA,225
1a,1975-06-27,94.0,Charleroi,Molenbeek,Flat,Cees Priem,NED,100
1b,1975-06-27,109.0,Molenbeek,Roubaix,Flat,Rik Van Linden,BEL,714
2,1975-06-28,121.0,Roubaix,Amiens,Flat,Ronald de Witte,BEL,749
3,1975-06-29,170.0,Amiens,Versailles,Flat,Karel Rottiers,BEL,462
4,1975-06-30,223.0,Versailles,Le Mans,Flat,Jacques Esclassan,FRA,349
5,1975-07-02,222.0,Sablé-sur-Sarthe,Merlin-Plage,Flat,Theo Smit,NED,802
6,1975-07-02,16.0,Merlin-Plage,Merlin-Plage,Time Trial,Eddy Merckx,BEL,154
